battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2026-01-04-0622,RANKED MATCH,guile,sagat,1424,1397,WIN,"[1,-1,1]",4NAN8UKNQ,1
2026-01-04-0620,RANKED MATCH,guile,sagat,1416,1405,WIN,"[5,1]",UMXWAN5Y3,1
2026-01-04-0618,RANKED MATCH,guile,sagat,1425,1396,LOSE,"[-1,-1]",G6B7MW66G,1
2026-01-04-0616,RANKED MATCH,guile,sagat,1433,1431,LOSE,"[-5,-1]",S8BS96FAA,1
2026-01-04-0614,RANKED MATCH,guile,sagat,1441,1423,LOSE,"[-1,1,-5]",R7EL8PY7M,1
2026-01-04-0609,RANKED MATCH,guile,gouki,1432,1457,WIN,"[1,1]",6DJV7GA5L,1
2026-01-04-0608,RANKED MATCH,guile,gouki,1423,1466,WIN,"[-1,1,1]",AJ7UJTHMT,1
2026-01-04-0606,RANKED MATCH,guile,gouki,1430,1459,LOSE,"[-1,-1]",K694XD4XH,1
2026-01-04-0604,RANKED MATCH,guile,ken,1422,1440,WIN,"[-1,1,6]",NFUMLVDLE,1
2026-01-04-0601,RANKED MATCH,guile,ken,1413,1449,WIN,"[1,1]",KNHV8K5NP,1
2026-01-04-0600,RANKED MATCH,guile,ken,1421,1441,LOSE,"[-1,1,-1]",Q34AYX4UF,2
2026-01-04-0557,RANKED MATCH,guile,ryu,1428,1461,LOSE,"[-6,-1]",NHXRVENT5,2
2026-01-04-0555,RANKED MATCH,guile,ryu,1436,1453,LOSE,"[-1,-1]",NT3ENWSMW,2
2026-01-04-0554,RANKED MATCH,guile,ryu,1427,1462,WIN,"[1,1]",36QL5ETRA,2
2026-01-04-0551,RANKED MATCH,guile,manon,1420,1384,WIN,"[-1,1,7]",8APR7EUDU,2
2026-01-04-0548,RANKED MATCH,guile,manon,1413,1391,WIN,"[1,1]",4XT6YR88X,2
2026-01-04-0546,RANKED MATCH,guile,luke,1419,1531,LOSE,"[-1,-1]",E4SA3FLEV,2
2026-01-04-0545,RANKED MATCH,guile,luke,1425,1525,LOSE,"[-1,-5]",LFY8LK8AV,2
2026-01-04-0542,RANKED MATCH,guile,ed,1430,1560,LOSE,"[-1,-1]",KN4D75QBL,2
2026-01-04-0541,RANKED MATCH,guile,ed,1435,1555,LOSE,"[-1,1,-1]",BUKRS7RTV,2
2026-01-04-0537,RANKED MATCH,guile,jamie,1429,1318,WIN,"[1,6]",4TK7NGCHC,3
2026-01-04-0536,RANKED MATCH,guile,jamie,1423,1324,WIN,"[5,1]",5PDSCYTTG,3
2026-01-04-0534,RANKED MATCH,guile,jamie,1434,1313,LOSE,"[1,-1,-7]",XDRLARXSC,3
2026-01-04-0530,RANKED MATCH,guile,marisa,1429,1305,WIN,"[-1,6,5]",3XU5LY4HT,3
2026-01-04-0527,RANKED MATCH,guile,marisa,1424,1310,WIN,"[1,-1,1]",CWRCPRHJQ,3
2026-01-04-0523,RANKED MATCH,guile,gouki,1432,1447,LOSE,"[-1,-1]",7V4Y43SUM,3
2026-01-04-0522,RANKED MATCH,guile,gouki,1440,1439,LOSE,"[-1,1,-1]",DXNLBSLFJ,3
2026-01-04-0520,RANKED MATCH,guile,gouki,1432,1447,WIN,"[8,6]",A66QYFQ7C,3
2026-01-04-0517,RANKED MATCH,guile,ryu,1425,1403,WIN,"[1,8]",YDJWJNS94,3
2026-01-04-0516,RANKED MATCH,guile,ryu,1417,1411,WIN,"[1,1]",W8KJ4EUDC,3
2026-01-04-0513,RANKED MATCH,guile,dhalsim,1407,1476,WIN,"[1,5]",D5YUYJR8R,4
2026-01-04-0511,RANKED MATCH,guile,dhalsim,1414,1469,LOSE,"[-1,-1]",4N56VBNU3,4
2026-01-04-0509,RANKED MATCH,guile,dhalsim,1404,1479,WIN,"[-1,7,1]",E5ACGUGR4,4
2026-01-04-0505,RANKED MATCH,guile,zangief,1396,1413,WIN,"[5,-1,1]",4U5N5935N,4
2026-01-04-0502,RANKED MATCH,jamie,mai,1351,1538,LOSE,"[1,-1,-1]",W7JGD8PJH,4
2026-01-04-0458,RANKED MATCH,jamie,mai,1355,1534,LOSE,"[-1,1,-7]",VHYP899KN,4
2026-01-04-0454,RANKED MATCH,ryu,gouki,1338,1360,LOSE,"[-1,-1]",WXWT99T8J,4
2026-01-04-0453,RANKED MATCH,ryu,gouki,1346,1352,LOSE,"[-5,-8]",UPBXTWR5V,4
2026-01-04-0450,RANKED MATCH,guile,zangief,1404,1407,LOSE,"[1,-5,-1]",AXF4CTB4P,4
2026-01-04-0447,RANKED MATCH,guile,zangief,1396,1415,WIN,"[6,6]",TNX6C9G88,4
2026-01-04-0445,RANKED MATCH,guile,zangief,1404,1407,LOSE,"[-5,1,-1]",NDUW4WKGW,5
2026-01-04-0442,RANKED MATCH,guile,luke,1395,1417,WIN,"[1,1]",FAB94HNYS,5
2026-01-04-0441,RANKED MATCH,guile,luke,1386,1426,WIN,"[1,-1,1]",HAFV9LUUC,5
