battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2026-01-02-0813,RANKED MATCH,vega,sagat,1456,1229,WIN,"[1,1]",5VPWVFT8C,1
2026-01-02-0811,RANKED MATCH,vega,sagat,1452,1233,WIN,"[1,1]",XUAENNULQ,1
2026-01-02-0808,RANKED MATCH,vega,ken,1445,1406,WIN,"[1,1]",K9HF8PBT5,1
2026-01-02-0806,RANKED MATCH,vega,ken,1438,1413,WIN,"[1,-6,8]",CJCMP5VHC,1
2026-01-02-0803,RANKED MATCH,vega,gouki,1431,1392,WIN,"[5,6]",QEG5JAQTR,1
2026-01-02-0801,RANKED MATCH,vega,gouki,1424,1399,WIN,"[-1,1,6]",XTE4KL3CQ,1
2026-01-02-0758,RANKED MATCH,vega,chunli,1431,1462,LOSE,"[-1,-6]",TQYGS7WH9,1
2026-01-02-0756,RANKED MATCH,vega,chunli,1439,1454,LOSE,"[-1,1,-8]",YENK47GDM,1
2026-01-02-0754,RANKED MATCH,vega,chunli,1430,1463,WIN,"[1,1]",BTNNXLRN6,1
2026-01-02-0751,RANKED MATCH,vega,gouki,1423,1382,WIN,"[1,1]",MX3ME6JQK,1
2026-01-02-0750,RANKED MATCH,vega,gouki,1416,1389,WIN,"[1,-1,8]",7Y9TEWXMB,2
2026-01-02-0748,RANKED MATCH,vega,gouki,1425,1380,LOSE,"[-1,1,-6]",NFJ7ET8LY,2
2026-01-02-0744,RANKED MATCH,vega,sagat,1433,1454,LOSE,"[-1,1,-1]",3DGWSG7XA,2
2026-01-02-0742,RANKED MATCH,vega,sagat,1441,1446,LOSE,"[-2,-1]",VQ4EE7DSG,2
2026-01-02-0739,RANKED MATCH,vega,juri,1434,1373,WIN,"[1,7]",X7YL4QSDT,2
2026-01-02-0737,RANKED MATCH,vega,juri,1427,1380,WIN,"[-1,1,1]",CTQ54NFPX,2
2026-01-02-0735,RANKED MATCH,vega,juri,1436,1371,LOSE,"[-6,1,-1]",7RBK649R3,2
2026-01-02-0731,RANKED MATCH,vega,ken,1430,1353,WIN,"[1,6]",YJCLKJTL9,2
2026-01-02-0730,RANKED MATCH,vega,ken,1423,1360,WIN,"[1,1]",34BCA5Y95,2
2026-01-02-0727,RANKED MATCH,vega,guile,1432,1399,LOSE,"[-1,-1]",C6GCEU7VT,2
2026-01-02-0725,RANKED MATCH,vega,guile,1441,1390,LOSE,"[-1,-1]",993A9KGV7,3
2026-01-02-0723,RANKED MATCH,vega,terry,1449,1457,LOSE,"[-8,-6]",YQPB5JP8N,3
2026-01-02-0721,RANKED MATCH,vega,terry,1440,1466,WIN,"[1,-6,1]",K6SMNQJYD,3
2026-01-02-0719,RANKED MATCH,vega,terry,1448,1458,LOSE,"[-8,1,-7]",QS3LQ874D,3
2026-01-02-0715,RANKED MATCH,vega,ed,1457,1393,LOSE,"[1,-1,-6]",RVST8QTDW,3
2026-01-02-0712,RANKED MATCH,vega,ed,1450,1400,WIN,"[1,1]",RNG5R8YPT,3
2026-01-02-0711,RANKED MATCH,vega,ed,1460,1390,LOSE,"[1,-1,-1]",D4TXKVPNG,3
2026-01-02-0619,RANKED MATCH,vega,terry,1453,1429,WIN,"[1,6]",QQDAMXXBN,3
2026-01-02-0617,RANKED MATCH,vega,terry,1445,1437,WIN,"[8,1]",N7BP4MV3G,3
2026-01-02-0615,RANKED MATCH,vega,jamie,1438,1403,WIN,"[1,-7,1]",R5JYUA9FB,3
2026-01-02-0613,RANKED MATCH,vega,jamie,1430,1411,WIN,"[1,-1,1]",4VEG6A598,4
2026-01-02-0609,RANKED MATCH,vega,guile,1438,1442,LOSE,"[-1,-6]",LNFF9S3A4,4
2026-01-02-0607,RANKED MATCH,vega,guile,1446,1434,LOSE,"[-5,-1]",QQHP8K5FT,4
2026-01-02-0605,RANKED MATCH,vega,ryu,1438,1442,WIN,"[-1,7,1]",HHCQHEYLB,4
2026-01-02-0603,RANKED MATCH,vega,ryu,1430,1450,WIN,"[1,5]",KXGAB6RDJ,4
2026-01-02-0601,RANKED MATCH,vega,ryu,1438,1442,LOSE,"[-1,-1]",4U4GTXDRE,4
2026-01-02-0559,RANKED MATCH,vega,mai,1446,1428,LOSE,"[-5,-6]",PD7MA6BXH,4
2026-01-02-0557,RANKED MATCH,vega,mai,1455,1419,LOSE,"[-1,-6]",G9RMDWQCY,4
2026-01-02-0555,RANKED MATCH,vega,mai,1448,1426,WIN,"[1,1]",VCUQ4HWFK,4
2026-01-02-0553,RANKED MATCH,vega,gouki,1440,1429,WIN,"[1,1]",5DLX6CPW9,4
2026-01-02-0552,RANKED MATCH,vega,gouki,1432,1437,WIN,"[1,5]",L3R677YRP,5
2026-01-02-0549,RANKED MATCH,vega,zangief,1440,1436,LOSE,"[-1,1,-1]",SCM38ENT8,5
2026-01-02-0547,RANKED MATCH,vega,zangief,1449,1427,LOSE,"[1,-8,-5]",LVV7QMX6X,5
2026-01-02-0545,RANKED MATCH,vega,zangief,1441,1435,WIN,"[1,1]",7MJAB7H5U,5
2026-01-02-0543,RANKED MATCH,vega,gouki,1435,1354,WIN,"[-1,1,1]",DWD8X8BRJ,5
2026-01-02-0540,RANKED MATCH,vega,gouki,1429,1360,WIN,"[-1,6,6]",JNWLD5LG9,5
2026-01-02-0537,RANKED MATCH,vega,dhalsim,1420,1467,WIN,"[1,1]",QXWUVC58N,5
2026-01-02-0536,RANKED MATCH,vega,dhalsim,1411,1476,WIN,"[-1,1,1]",YRVANK6UJ,5
2026-01-02-0531,RANKED MATCH,vega,blanka,1420,1388,LOSE,"[-6,1,-1]",5KV4SME5Y,5
2026-01-02-0529,RANKED MATCH,vega,blanka,1412,1396,WIN,"[1,-1,1]",SCS5QCTVS,5
2026-01-02-0526,RANKED MATCH,vega,blanka,1421,1387,LOSE,"[-1,-5]",X9MQM476S,6
2026-01-02-0524,RANKED MATCH,vega,luke,1415,1316,WIN,"[8,1]",TC3VFYM7Y,6
2026-01-02-0522,RANKED MATCH,vega,luke,1409,1322,WIN,"[1,1]",HP3HWUELW,6
2026-01-02-0520,RANKED MATCH,vega,jp,1416,1458,LOSE,"[1,-1,-6]",P3DBQLDQ9,6
2026-01-02-0518,RANKED MATCH,vega,jp,1423,1451,LOSE,"[-1,-5]",H3H446JSB,6
2026-01-02-0516,RANKED MATCH,vega,jp,1430,1472,LOSE,"[-1,1,-1]",96T5EVCAX,6
2026-01-02-0513,RANKED MATCH,vega,jp,1437,1465,LOSE,"[-8,-6]",G7GLPFUH7,6
