battle_time_jst,battle_type,my_character,opp_character,my_mr,opp_mr,result,round_score,replay_id,page
2025-12-25-0051,RANKED MATCH,jamie,sagat,1346,1464,WIN,"[1,1]",8H5BQ9LXJ,1
2025-12-25-0049,RANKED MATCH,jamie,sagat,1352,1458,LOSE,"[1,0,0]",6DSNTEEUV,1
2025-12-25-0045,RANKED MATCH,jamie,guile,1361,1334,LOSE,"[0,1,0]",CJRVBW7D8,1
2025-12-25-0043,RANKED MATCH,jamie,guile,1353,1342,WIN,"[0,6,1]",FW876FP5E,1
2025-12-25-0041,RANKED MATCH,jamie,guile,1362,1333,LOSE,"[0,0]",WENGW7UU6,1
2025-12-25-0039,RANKED MATCH,jamie,sagat,1370,1377,LOSE,"[0,0]",SRG68YFF7,1
2025-12-25-0037,RANKED MATCH,jamie,sagat,1378,1369,LOSE,"[0,0]",YCBM75YLT,1
2025-12-25-0035,RANKED MATCH,jamie,gouki,1386,1366,LOSE,"[1,0,0]",8DPLDSNCQ,1
2025-12-25-0033,RANKED MATCH,jamie,gouki,1378,1374,WIN,"[1,1]",87HHHXLMC,1
2025-12-25-0031,RANKED MATCH,jamie,gouki,1386,1366,LOSE,"[1,0,0]",JYGECNFSG,1
2025-12-25-0028,RANKED MATCH,jamie,juri,1394,1409,LOSE,"[0,0]",7AK8VHBEL,2
2025-12-25-0027,RANKED MATCH,jamie,juri,1385,1418,WIN,"[1,0,1]",CCJA86GGX,2
2025-12-25-0024,RANKED MATCH,jamie,juri,1393,1410,LOSE,"[1,0,0]",DWVEPCYPV,2
2025-12-25-0021,RANKED MATCH,jamie,zangief,1383,1484,WIN,"[1,0,1]",E89JVQ5S9,2
2025-12-25-0016,RANKED MATCH,jamie,juri,1376,1339,WIN,"[1,6]",6CQA7AWPS,2
2025-12-25-0015,RANKED MATCH,jamie,juri,1368,1347,WIN,"[1,1]",3QQVNAD95,2
2025-12-25-0013,RANKED MATCH,jamie,mai,1360,1346,WIN,"[1,1]",GRQ8RQLEU,2
2025-12-25-0011,RANKED MATCH,jamie,mai,1352,1354,WIN,"[1,0,1]",AW5XPY5CC,2
2025-12-25-0007,RANKED MATCH,jamie,deejay,1359,1396,LOSE,"[0,0]",LYM3RVB8P,2
2025-12-25-0005,RANKED MATCH,jamie,deejay,1367,1388,LOSE,"[0,0]",BUTFS3L5U,2
2025-12-25-0004,RANKED MATCH,jamie,deejay,1358,1397,WIN,"[0,1,1]",F8PXWWH37,3
2025-12-25-0000,RANKED MATCH,jamie,cammy,1349,1375,WIN,"[1,0,1]",DMQMK649L,3
2025-12-24-2357,RANKED MATCH,jamie,cammy,1357,1367,LOSE,"[0,0]",VKNLUA9PJ,3
2025-12-24-2355,RANKED MATCH,jamie,cammy,1348,1376,WIN,"[6,8]",98U8H3JQJ,3
2025-12-24-2353,RANKED MATCH,jamie,gouki,1355,1387,LOSE,"[0,0]",K9QGWXVNX,3
2025-12-24-2351,RANKED MATCH,jamie,gouki,1363,1379,LOSE,"[1,0,0]",SAHCU567P,3
2025-12-24-2347,RANKED MATCH,jamie,gouki,1357,1287,WIN,"[0,6,1]",XGDS3AVWM,3
2025-12-24-2345,RANKED MATCH,jamie,gouki,1350,1294,WIN,"[5,1]",BFSVKQBSL,3
2025-12-24-2343,RANKED MATCH,jamie,gouki,1360,1284,LOSE,"[1,0,0]",CTYFR8WGC,3
2025-12-24-2339,RANKED MATCH,jamie,gouki,1368,1350,LOSE,"[0,0]",5HUXDL7QS,3
2025-12-24-2337,RANKED MATCH,jamie,gouki,1377,1341,LOSE,"[0,1,0]",EYJANPK7Q,4
2025-12-24-2335,RANKED MATCH,jamie,gouki,1369,1349,LOSE,"[0,1,7]",PXGTPNQ7C,4
2025-12-24-2332,RANKED MATCH,jamie,blanka,1361,1361,WIN,"[0,1,8]",YMCL5VDB6,4
2025-12-24-2330,RANKED MATCH,jamie,blanka,1353,1369,WIN,"[1,1]",4BA5NSGYB,4
2025-12-24-2328,RANKED MATCH,jamie,dhalsim,1345,1345,WIN,"[1,1]",DDE99S3DT,4
2025-12-24-2326,RANKED MATCH,jamie,dhalsim,1337,1353,WIN,"[1,1]",V7L66B8CN,4
2025-12-24-2325,RANKED MATCH,jamie,dhalsim,1345,1345,LOSE,"[0,0]",YLDFRARC8,4
2025-12-24-2322,RANKED MATCH,jamie,ryu,1353,1372,LOSE,"[0,2,0]",UCTCVFSNR,4
2025-12-24-2319,RANKED MATCH,jamie,ryu,1344,1381,WIN,"[1,1]",XNCHU5DBL,4
2025-12-24-2318,RANKED MATCH,jamie,ryu,1352,1373,LOSE,"[0,0]",MN4NAVE3A,4
2025-12-24-2314,RANKED MATCH,jamie,ed,1359,1420,LOSE,"[0,0]",8V8CDV3DJ,5
2025-12-24-2312,RANKED MATCH,jamie,ed,1366,1413,LOSE,"[1,0,0]",LPERMVHAY,5
2025-12-24-2309,RANKED MATCH,jamie,kimberly,1374,1353,LOSE,"[0,1,0]",GWUFTPNHC,5
2025-12-24-2306,RANKED MATCH,jamie,kimberly,1366,1361,WIN,"[1,0,1]",SXQMHH35C,5
2025-12-24-2304,RANKED MATCH,jamie,kimberly,1375,1352,LOSE,"[1,0,0]",W69UR3KNB,5
2025-12-24-2300,RANKED MATCH,jamie,ken,1367,1365,WIN,"[1,1]",78EPRRWPB,5
2025-12-24-2258,RANKED MATCH,jamie,ken,1359,1373,WIN,"[1,1]",MNG3H6V86,5
2025-12-24-2256,RANKED MATCH,jamie,ken,1367,1365,LOSE,"[0,0]",SC5356QJK,5
2025-12-24-2254,RANKED MATCH,jamie,gouki,1360,1322,WIN,"[1,7]",JR8RF43FK,5
2025-12-24-2252,RANKED MATCH,jamie,gouki,1353,1329,WIN,"[1,1]",DVDLLG3TD,5
2025-12-24-2250,RANKED MATCH,jamie,gouki,1361,1366,LOSE,"[0,0]",RC3FVTCJQ,6
2025-12-24-2249,RANKED MATCH,jamie,gouki,1369,1358,LOSE,"[0,0]",RAL7R6H7B,6
2025-12-24-2247,RANKED MATCH,jamie,gouki,1361,1366,WIN,"[1,0,1]",FJAVN4YH4,6
2025-12-24-2244,RANKED MATCH,jamie,juri,1354,1317,WIN,"[1,1]",VU8NP8P3H,6
2025-12-24-2242,RANKED MATCH,jamie,juri,1346,1325,WIN,"[0,1,1]",FJ6P6BEXB,6
2025-12-24-2239,RANKED MATCH,jamie,ryu,1338,1340,WIN,"[1,0,6]",GDDDMSQN8,6
2025-12-24-2236,RANKED MATCH,jamie,ryu,1330,1348,WIN,"[1,1]",DEVQVSBML,6
2025-12-24-2234,RANKED MATCH,jamie,sagat,1337,1359,LOSE,"[1,0,0]",FM573M38M,6
2025-12-24-2231,RANKED MATCH,jamie,sagat,1345,1351,LOSE,"[1,0,0]",85UXDM6N6,6
2025-12-19-0550,RANKED MATCH,vega,ryu,1401,1420,LOSE,"[0,0]",59NYWL3A8,6
2025-12-19-0548,RANKED MATCH,vega,ryu,1392,1429,WIN,"[1,0,6]",ELGWQFWY4,7
2025-12-19-0545,RANKED MATCH,vega,ken,1401,1355,LOSE,"[0,0]",TBKAXCJYQ,7
2025-12-19-0543,RANKED MATCH,vega,ken,1410,1346,LOSE,"[1,0,0]",QUFLYQCUL,7
2025-12-19-0539,RANKED MATCH,sagat,jp,1468,1488,LOSE,"[1,0,0]",FE3XXHF6E,7
2025-12-19-0536,RANKED MATCH,sagat,cammy,1460,1475,WIN,"[1,0,1]",S3N3J6SPR,7
2025-12-19-0534,RANKED MATCH,sagat,cammy,1451,1484,WIN,"[1,1]",DLJG7SC4C,7
2025-12-19-0532,RANKED MATCH,sagat,cammy,1459,1476,LOSE,"[0,0]",NCHQN9TUK,7
2025-12-19-0529,RANKED MATCH,sagat,ken,1451,1434,WIN,"[8,1]",CBT3DP55Y,7
2025-12-19-0528,RANKED MATCH,sagat,ken,1443,1442,WIN,"[1,1]",KYU85XVQL,7
2025-12-19-0526,RANKED MATCH,sagat,mai,1435,1443,WIN,"[1,0,1]",DH8F9686R,7
2025-12-19-0523,RANKED MATCH,sagat,mai,1443,1435,LOSE,"[0,0]",99XYBBRX7,8
2025-12-19-0522,RANKED MATCH,sagat,mai,1435,1443,WIN,"[1,1]",DAKXBHQUY,8
2025-12-19-0519,RANKED MATCH,sagat,ed,1442,1491,LOSE,"[0,1,0]",DKQWG7QX7,8
2025-12-19-0517,RANKED MATCH,sagat,ed,1449,1484,LOSE,"[0,0]",NGDQNGK7T,8
2025-12-19-0514,RANKED MATCH,sagat,ed,1442,1389,WIN,"[1,1]",7QNSQAB65,8
2025-12-19-0513,RANKED MATCH,sagat,ed,1435,1396,WIN,"[2,6]",BEXN76399,8
2025-12-19-0510,RANKED MATCH,marisa,honda,1406,1468,LOSE,"[1,0,0]",EPWR9GG4F,8
2025-12-19-0508,RANKED MATCH,marisa,honda,1413,1461,LOSE,"[0,0]",HHKPWKEYE,8
2025-12-19-0505,RANKED MATCH,marisa,guile,1421,1438,LOSE,"[0,0]",TVNMW4X9Y,8
2025-12-19-0504,RANKED MATCH,marisa,guile,1429,1430,LOSE,"[0,0]",YS99DVU5P,8
2025-12-19-0503,RANKED MATCH,marisa,guile,1421,1438,WIN,"[0,1,1]",GYWGU5N9S,9
2025-12-19-0500,RANKED MATCH,marisa,vega,1413,1431,WIN,"[1,0,1]",5CU93T7JP,9
2025-12-19-0456,RANKED MATCH,vega,luke,1417,1458,LOSE,"[0,0]",4V4UF7ERK,9
2025-12-19-0454,RANKED MATCH,vega,luke,1424,1451,LOSE,"[0,1,0]",JVFXCMXF8,9
2025-12-19-0452,RANKED MATCH,vega,luke,1415,1460,WIN,"[1,0,1]",6G6VFCLTR,9
2025-12-19-0448,RANKED MATCH,guile,jamie,1412,1430,LOSE,"[1,0,0]",JHRSQHVBP,9
2025-12-19-0445,RANKED MATCH,guile,jamie,1420,1422,LOSE,"[0,1,0]",C57DV3NSQ,9
2025-12-19-0443,RANKED MATCH,guile,jamie,1412,1430,WIN,"[1,0,1]",P97K4DQ4K,9
2025-12-19-0438,RANKED MATCH,vega,gouki,1408,1371,WIN,"[0,1,6]",XUQ5E6QHX,9
2025-12-19-0436,RANKED MATCH,vega,gouki,1401,1378,WIN,"[1,6]",9ABKTMG4F,9
2025-12-19-0433,RANKED MATCH,vega,ed,1394,1370,WIN,"[1,1]",E5N6MAL38,10
2025-12-19-0432,RANKED MATCH,vega,ed,1386,1378,WIN,"[1,0,1]",B79P3QAA7,10
2025-12-19-0430,RANKED MATCH,vega,ed,1395,1369,LOSE,"[0,0]",JA9TNE9BK,10
2025-12-19-0427,RANKED MATCH,vega,terry,1405,1296,LOSE,"[0,1,0]",SXXP3556K,10
2025-12-19-0424,RANKED MATCH,vega,ryu,1397,1394,WIN,"[1,1]",PS6G8NH83,10
2025-12-19-0423,RANKED MATCH,vega,ryu,1405,1386,LOSE,"[0,0]",UBF8MKQK8,10
2025-12-19-0421,RANKED MATCH,vega,ryu,1397,1394,WIN,"[0,1,1]",QLKDS5A6C,10
2025-12-19-0418,RANKED MATCH,vega,honda,1405,1388,LOSE,"[0,7,0]",KDCRURSWV,10
2025-12-19-0416,RANKED MATCH,vega,honda,1397,1396,WIN,"[0,6,5]",HHX5CXJKU,10
2025-12-19-0413,RANKED MATCH,vega,honda,1405,1388,LOSE,"[0,1,0]",874HGLB84,10
2025-12-19-0410,RANKED MATCH,sagat,mai,1442,1485,LOSE,"[0,0]",JW74CPXEM,5
2025-12-19-0408,RANKED MATCH,sagat,mai,1449,1478,LOSE,"[0,0]",7DM6QELBP,5
2025-12-19-0405,RANKED MATCH,sagat,ryu,1441,1427,WIN,"[1,0,1]",9MQDRWP4L,5
2025-12-19-0403,RANKED MATCH,sagat,ryu,1433,1435,WIN,"[1,1]",GAJ4RFRST,5
2025-12-19-0401,RANKED MATCH,sagat,terry,1440,1489,LOSE,"[0,0]",JENJ67LPE,5
2025-12-19-0359,RANKED MATCH,sagat,terry,1447,1482,LOSE,"[0,0]",HE6GVQPHR,5
2025-12-19-0357,RANKED MATCH,sagat,terry,1454,1500,LOSE,"[0,0]",4VQ7FPPC7,5
2025-12-19-0356,RANKED MATCH,sagat,terry,1461,1493,LOSE,"[0,0]",9N573AV4E,5
2025-12-19-0353,RANKED MATCH,sagat,gouki,1455,1371,WIN,"[8,1]",LFUYTKC4G,5
2025-12-19-0352,RANKED MATCH,sagat,gouki,1449,1377,WIN,"[1,1]",CS768R5WA,6
2025-12-19-0350,RANKED MATCH,sagat,chunli,1440,1473,WIN,"[1,1]",FA9SJCD38,6
2025-12-19-0348,RANKED MATCH,sagat,chunli,1448,1465,LOSE,"[0,0]",UBHELLENK,6
2025-12-19-0347,RANKED MATCH,sagat,chunli,1439,1474,WIN,"[6,1]",FKD56K6MY,6
2025-12-19-0344,RANKED MATCH,marisa,juri,1420,1454,LOSE,"[0,0]",NAYS3USQ5,6
2025-12-19-0342,RANKED MATCH,marisa,juri,1428,1446,LOSE,"[6,0,0]",MQ5GBNWST,6
2025-12-19-0338,RANKED MATCH,honda,juri,1426,1421,LOSE,"[1,0,0]",CR5DAWA63,6
2025-12-19-0336,RANKED MATCH,honda,juri,1434,1413,LOSE,"[0,0]",SYTMCDCLK,6
2025-12-19-0333,RANKED MATCH,honda,luke,1441,1488,LOSE,"[0,0]",BMKFY55DJ,6
2025-12-19-0331,RANKED MATCH,honda,luke,1431,1498,LOSE,"[0,7,1]",LN53RV6VP,6
2025-12-19-0328,RANKED MATCH,honda,luke,1438,1491,LOSE,"[1,0,0]",HQFG8KDFH,7
2025-12-19-0324,RANKED MATCH,honda,terry,1429,1463,WIN,"[1,0,1]",QUEV8T3KA,7
2025-12-19-0322,RANKED MATCH,honda,terry,1437,1455,LOSE,"[1,0,0]",TP3EU9VN8,7
2025-12-19-0319,RANKED MATCH,honda,terry,1428,1464,WIN,"[1,1]",YQ8888WUS,7
2025-12-19-0316,RANKED MATCH,marisa,sagat,1435,1493,LOSE,"[0,0]",EN73LJ3GM,7
2025-12-19-0315,RANKED MATCH,marisa,sagat,1442,1486,LOSE,"[1,0,0]",NK6DQCDNN,7
2025-12-19-0311,RANKED MATCH,marisa,manon,1434,1443,WIN,"[0,1,1]",YJXBVFHLA,7
2025-12-19-0309,RANKED MATCH,marisa,manon,1425,1452,WIN,"[1,5]",96Y8CSNSH,7
2025-12-19-0306,RANKED MATCH,marisa,ed,1433,1413,LOSE,"[0,1,0]",53QEURXJB,7
2025-12-19-0303,RANKED MATCH,marisa,ed,1425,1421,WIN,"[1,1]",PWXR3M44V,7
2025-12-19-0302,RANKED MATCH,marisa,ed,1434,1412,LOSE,"[0,1,0]",5WY4PN776,8
2025-12-19-0259,RANKED MATCH,marisa,cviper,1442,1438,LOSE,"[0,5,0]",SM3E8XCD7,8
2025-12-19-0256,RANKED MATCH,marisa,cviper,1450,1430,LOSE,"[0,0]",W73FS7X36,8
2025-12-19-0254,RANKED MATCH,marisa,cammy,1458,1463,LOSE,"[0,0]",NSJF5JGW9,8
2025-12-19-0252,RANKED MATCH,marisa,cammy,1466,1455,LOSE,"[1,0,0]",ASHRL9656,8
2025-12-19-0249,RANKED MATCH,marisa,cammy,1458,1463,WIN,"[1,5]",VPUCH88EF,8
2025-12-19-0247,RANKED MATCH,marisa,gouki,1450,1444,WIN,"[5,1]",348D3YBRH,8
2025-12-19-0245,RANKED MATCH,marisa,cviper,1441,1463,WIN,"[5,1]",CHWV5TQB4,8
2025-12-19-0243,RANKED MATCH,marisa,cviper,1432,1472,WIN,"[1,1]",6S7QQ3CF4,8
2025-12-19-0241,RANKED MATCH,marisa,sagat,1440,1450,LOSE,"[0,0]",NBUFN3PFB,8
2025-12-19-0239,RANKED MATCH,marisa,sagat,1448,1442,LOSE,"[6,0,0]",6CBW99AP4,9
2025-12-19-0236,RANKED MATCH,marisa,zangief,1442,1367,WIN,"[0,1,1]",HJJM6T83P,9
2025-12-19-0234,RANKED MATCH,marisa,zangief,1435,1374,WIN,"[5,1]",4FSFY78X6,9
2025-12-19-0232,RANKED MATCH,marisa,ed,1442,1473,LOSE,"[0,1,0]",5BNNAXXSA,9
2025-12-19-0229,RANKED MATCH,marisa,ed,1450,1465,LOSE,"[0,0]",BPSFCU8V4,9
2025-12-19-0226,RANKED MATCH,honda,ryu,1435,1472,LOSE,"[0,0]",3FTKXJBRE,9
2025-12-19-0225,RANKED MATCH,honda,ryu,1442,1465,LOSE,"[0,0]",4MVQL7B6D,9
2025-12-19-0223,RANKED MATCH,honda,chunli,1449,1494,LOSE,"[0,1,0]",XY36YL7VB,9
2025-12-19-0220,RANKED MATCH,honda,chunli,1456,1487,LOSE,"[0,0]",U3967YTXG,9
2025-12-19-0218,RANKED MATCH,honda,ken,1464,1464,LOSE,"[1,0,0]",BAJ6FHXKY,9
2025-12-19-0215,RANKED MATCH,honda,gouki,1472,1493,LOSE,"[0,0]",YR58JLA37,10
2025-12-19-0213,RANKED MATCH,honda,gouki,1480,1485,LOSE,"[0,0]",MY6EGETGR,10
2025-12-19-0211,RANKED MATCH,vega,marisa,1398,1355,WIN,"[1,0,8]",YYNNW5AYN,10
2025-12-19-0209,RANKED MATCH,vega,marisa,1391,1362,WIN,"[1,0,1]",KYTYPDTXX,10
2025-12-19-0207,RANKED MATCH,vega,ryu,1399,1407,LOSE,"[0,0]",LEFSEQPDE,10
2025-12-19-0205,RANKED MATCH,vega,ryu,1407,1399,LOSE,"[0,0]",RHGQXT4D6,10
2025-12-19-0203,RANKED MATCH,vega,ryu,1399,1407,WIN,"[0,1,1]",HWJXMDUK5,10
2025-12-19-0200,RANKED MATCH,vega,aki,1407,1413,LOSE,"[0,5,0]",7YE7JRNWM,10
2025-12-19-0157,RANKED MATCH,vega,aki,1398,1422,WIN,"[5,0,2]",YAV8L8PLW,10
2025-12-19-0154,RANKED MATCH,vega,aki,1406,1414,LOSE,"[0,0]",SK4EHBATC,10
2025-12-18-02:56:48,RANKED MATCH,gouki,jamie,1298,1256,LOSE,0-2,ASVUJ6CCS,1
2025-12-18-02:55:09,RANKED MATCH,gouki,jamie,1307,1247,LOSE,0-2,33XJG7V78,1
